sofifa_id,short_name,long_name,player_positions,nationality,club_name,league_name
158023,L. Messi,Lionel Andres Messi Cuccittini,"RW, ST, CF",Argentina,FC Barcelona,Spain Primera Division
20801,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,"ST, LW",Portugal,Juventus,Italian Serie A
200389,J. Oblak,Jan Oblak,GK,Slovenia,Atlético Madrid,Spain Primera Division
188545,R. Lewandowski,Robert Lewandowski,ST,Poland,FC Bayern München,German 1. Bundesliga
190871,Neymar Jr,Neymar da Silva Santos Junior,"LW, CAM",Brazil,Paris Saint-Germain,French Ligue 1
192985,K. De Bruyne,Kevin De Bruyne,"CAM, CM",Belgium,Manchester City,English Premier League
231747,K. Mbappe,Kylian Mbappe Lottin,"ST, LW, RW",France,Paris Saint-Germain,French Ligue 1
192448,M. ter Stegen,Marc-Andre ter Stegen,GK,Germany,FC Barcelona,Spain Primera Division
203376,V. van Dijk,Virgil van Dijk,CB,Netherlands,Liverpool,English Premier League
212831,Alisson,Alisson Ramses Becker,GK,Brazil,Liverpool,English Premier League
208722,S. Mane,Sadio Mane,LW,Senegal,Liverpool,English Premier League
209331,M. Salah,Mohamed Salah Ghaly,RW,Egypt,Liverpool,English Premier League
192119,T. Courtois,Thibaut Courtois,GK,Belgium,Real Madrid,Spain Primera Division
153079,S. Aguero,Sergio Leonel Aguero del Castillo,ST,Argentina,Manchester City,English Premier League
155862,Sergio Ramos,Sergio Ramos Garcia,CB,Spain,Real Madrid,Spain Primera Division
165153,K. Benzema,Karim Benzema,"CF, ST",France,Real Madrid,Spain Primera Division
167495,M. Neuer,Manuel Neuer,GK,Germany,FC Bayern München,German 1. Bundesliga
200145,Casemiro,Carlos Henrique Venancio Casimiro,CDM,Brazil,Real Madrid,Spain Primera Division
210257,Ederson,Ederson Santana de Moraes,GK,Brazil,Manchester City,English Premier League
202652,R. Sterling,Raheem Shaquille Sterling,"LW, RW",England,Manchester City,English Premier League
212622,J. Kimmich,Joshua Kimmich,"CDM, RB",Germany,FC Bayern München,German 1. Bundesliga
202126,H. Kane,Harry Kane,ST,England,Tottenham Hotspur,English Premier League
211110,P. Dybala,Paulo Bruno Exequiel Dybala,"CF, CAM",Argentina,Juventus,Italian Serie A
162835,S. Handanovic,Samir Handanovic,GK,Slovenia,Inter,Italian Serie A
182521,T. Kroos,Toni Kroos,CM,Germany,Real Madrid,Spain Primera Division
183277,E. Hazard,Eden Hazard,"LW, ST",Belgium,Real Madrid,Spain Primera Division
201024,K. Koulibaly,Kalidou Koulibaly,CB,Senegal,Napoli,Italian Serie A
215914,N. Kante,N'Golo Kante,"CDM, CM",France,Chelsea,English Premier League
233049,J. Sancho,Jadon Sancho,"RM, LM, CAM",England,Borussia Dortmund,German 1. Bundesliga
231281,T. Alexander-Arnold,Trent Alexander-Arnold,RB,England,Liverpool,English Premier League
212198,Bruno Fernandes,Bruno Miguel Borges Fernandes,"CAM, CM",Portugal,Manchester United,English Premier League
212218,A. Laporte,Aymeric Laporte,CB,France,Manchester City,English Premier League
209499,Fabinho,Fabio Henrique Tavares,CDM,Brazil,Liverpool,English Premier League
216267,A. Robertson,Andrew Robertson,LB,Scotland,Liverpool,English Premier League
218667,Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,"RW, CAM, CM",Portugal,Manchester City,English Premier League
138956,G. Chiellini,Giorgio Chiellini,CB,Italy,Juventus,Italian Serie A
167948,H. Lloris,Hugo Lloris,GK,France,Tottenham Hotspur,English Premier League
176580,L. Suarez,Luis Alberto Suarez Diaz,ST,Uruguay,FC Barcelona,Spain Primera Division
177003,L. Modric,Luka Modric,CM,Croatia,Real Madrid,Spain Primera Division
183898,A. Di Maria,Angel Fabian Di Maria Hernandez,"RW, LW",Argentina,Paris Saint-Germain,French Ligue 1
186153,W. Szczesny,Wojciech Szczesny,GK,Poland,Juventus,Italian Serie A
188567,P. Aubameyang,Pierre-Emerick Aubameyang,"ST, LW",Gabon,Arsenal,English Premier League
189511,Sergio Busquets,Sergio Busquets i Burgos,CDM,Spain,FC Barcelona,Spain Primera Division
192387,C. Immobile,Ciro Immobile,ST,Italy,Lazio,Italian Serie A
193041,K. Navas,Keylor Navas Gamboa,GK,Costa Rica,Paris Saint-Germain,French Ligue 1
194765,A. Griezmann,Antoine Griezmann,"ST, CF, LW",France,FC Barcelona,Spain Primera Division
200104,H. Son,sonheungmin Sun Xing Min ,"LM, CF",Korea Republic,Tottenham Hotspur,English Premier League
201942,Roberto Firmino,Roberto Firmino Barbosa de Oliveira,CF,Brazil,Liverpool,English Premier League
201535,R. Varane,Raphael Varane,CB,France,Real Madrid,Spain Primera Division
195864,P. Pogba,Paul Pogba,"CM, CDM",France,Manchester United,English Premier League
199556,M. Verratti,Marco Verratti,"CM, CDM",Italy,Paris Saint-Germain,French Ligue 1
143076,A. Gomez,Alejandro Dario Gomez,"CAM, CF, ST",Argentina,Atalanta,Italian Serie A
152729,Pique,Gerard Pique Bernabeu,CB,Spain,FC Barcelona,Spain Primera Division
168542,David Silva,David Josue Jimenez Silva,"CAM, CM",Spain,Real Sociedad,Spain Primera Division
177683,Y. Sommer,Yann Sommer,GK,Switzerland,Borussia Mönchengladbach,German 1. Bundesliga
178603,M. Hummels,Mats Hummels,CB,Germany,Borussia Dortmund,German 1. Bundesliga
183711,J. Henderson,Jordan Brian Henderson,"CDM, CM",England,Liverpool,English Premier League
189332,Jordi Alba,Jordi Alba Ramos,LB,Spain,FC Barcelona,Spain Primera Division
189596,T. Muller,Thomas Muller,"CAM, RM, RW",Germany,FC Bayern München,German 1. Bundesliga
193080,De Gea,David De Gea Quintana,GK,Spain,Manchester United,English Premier League
